feccre,count,chuquisaca,lapaz,cochabamba,oruro,potosi,tarija,santa,beni,pando
2022-09-21 04:00:00+00:00,18,0,0,18,0,0,0,0,0,0
2022-09-20 04:00:00+00:00,22200,3311,5735,3608,525,680,2720,5201,255,165
2022-09-19 04:00:00+00:00,24565,2387,4898,3362,1502,1419,2326,7817,502,352
2022-09-18 04:00:00+00:00,2151,1,0,0,468,1289,1,0,74,318
2022-09-17 04:00:00+00:00,3568,67,0,0,554,1749,234,58,504,402
2022-09-16 04:00:00+00:00,10984,1674,0,0,839,1374,2199,4369,207,322
2022-09-15 04:00:00+00:00,11997,2400,0,0,1374,948,2187,4161,391,536
2022-09-14 04:00:00+00:00,12297,2526,0,0,1400,1165,2487,3823,363,533
2022-09-13 04:00:00+00:00,13390,2839,0,0,1183,1651,2591,4251,503,372
2022-09-12 04:00:00+00:00,12381,2818,0,0,1041,1321,2483,4003,527,188
2022-09-11 04:00:00+00:00,2344,22,0,0,1048,849,7,0,158,260
2022-09-10 04:00:00+00:00,2935,386,0,0,788,1165,90,30,275,201
2022-09-09 04:00:00+00:00,12283,3289,0,0,746,1067,2605,3926,373,277
2022-09-08 04:00:00+00:00,13733,4090,0,0,1392,1005,2750,3906,370,220
2022-09-07 04:00:00+00:00,12587,3699,0,0,1323,1003,2579,3198,559,226
2022-09-06 04:00:00+00:00,12097,2548,0,0,1937,888,2440,3538,490,256
2022-09-05 04:00:00+00:00,11064,2852,0,0,931,629,2630,3294,558,170
2022-09-04 04:00:00+00:00,1495,56,0,0,0,1277,21,0,110,31
2022-09-03 04:00:00+00:00,2387,328,0,0,0,1227,158,4,395,275
2022-09-02 04:00:00+00:00,10946,2454,0,0,0,1802,2777,3252,328,333
2022-09-01 04:00:00+00:00,8855,1881,0,0,0,461,2975,3256,23,259
2022-08-31 04:00:00+00:00,6786,0,0,0,0,0,3044,3742,0,0
2022-08-30 04:00:00+00:00,7105,0,0,0,0,0,3355,3750,0,0
2022-08-29 04:00:00+00:00,6621,0,0,0,0,0,2569,4050,2,0
2022-08-28 04:00:00+00:00,161,0,0,0,0,0,160,1,0,0
2022-08-27 04:00:00+00:00,266,0,0,0,0,0,181,83,2,0
2022-08-26 04:00:00+00:00,6268,0,0,0,0,0,2784,3065,419,0
2022-08-25 04:00:00+00:00,6601,0,0,0,107,0,2733,3552,209,0
2022-08-24 04:00:00+00:00,9906,0,0,0,2913,0,2714,3932,347,0
2022-08-23 04:00:00+00:00,13146,0,0,0,3883,1122,3108,4058,969,6
2022-08-22 04:00:00+00:00,13427,0,0,0,0,1249,3458,4064,3908,748
2022-08-21 04:00:00+00:00,3795,0,0,0,1,0,180,31,3112,471
2022-08-20 04:00:00+00:00,5753,0,0,0,3,0,719,168,4268,595
2022-08-19 04:00:00+00:00,11418,0,0,0,2190,0,3069,3882,1712,565
2022-08-18 04:00:00+00:00,13856,0,0,0,3006,988,3227,5183,1036,416
2022-08-17 04:00:00+00:00,14052,0,0,0,3274,1393,3404,4347,1114,520
2022-08-16 04:00:00+00:00,10394,0,0,0,26,1064,3699,4116,1365,124
2022-08-15 04:00:00+00:00,11977,0,0,0,1,1184,2633,4114,3602,443
2022-08-14 04:00:00+00:00,3893,0,0,0,0,0,96,2195,1261,341
2022-08-13 04:00:00+00:00,11668,0,0,0,0,0,626,5423,5206,413
2022-08-12 04:00:00+00:00,15087,0,0,0,99,0,3062,4913,6423,590
2022-08-11 04:00:00+00:00,15346,0,0,0,2966,886,1886,4521,4418,669
2022-08-10 04:00:00+00:00,11375,0,0,0,4001,1073,0,3679,1645,977
2022-08-09 04:00:00+00:00,6505,0,0,0,3701,1352,0,0,1149,303
2022-08-08 04:00:00+00:00,6978,0,0,0,3716,1181,0,1,2080,0
2022-08-07 04:00:00+00:00,1568,0,0,0,0,0,0,7,1561,0
2022-08-06 04:00:00+00:00,3363,0,0,0,0,0,0,434,2929,0
2022-08-05 04:00:00+00:00,12082,0,0,0,3673,559,0,3431,3782,637
2022-08-04 04:00:00+00:00,14061,0,0,0,4278,808,0,4068,4220,687
2022-08-03 04:00:00+00:00,11035,0,0,0,4183,1486,0,3575,1268,523
2022-08-02 04:00:00+00:00,10353,0,0,0,3983,1650,0,3605,944,171
2022-08-01 04:00:00+00:00,10062,0,0,0,4136,1840,0,3487,0,599
2022-07-31 04:00:00+00:00,791,0,0,0,0,0,0,791,0,0
2022-07-30 04:00:00+00:00,2507,0,0,0,4,0,0,2503,0,0
2022-07-29 04:00:00+00:00,5475,0,0,0,2452,0,0,2835,184,4
2022-07-28 04:00:00+00:00,8529,0,0,0,4351,0,0,3932,246,0
2022-07-27 04:00:00+00:00,8008,0,0,0,4032,0,0,3373,603,0
2022-07-26 04:00:00+00:00,8480,0,0,0,4232,3,0,3040,1205,0
2022-07-25 04:00:00+00:00,8678,0,0,0,4148,9,0,34,4487,0
2022-07-24 04:00:00+00:00,453,0,0,0,0,1,0,289,163,0
2022-07-23 04:00:00+00:00,1809,0,0,0,0,0,0,415,1394,0
2022-07-22 04:00:00+00:00,6124,0,0,0,455,4,0,3189,2476,0
2022-07-21 04:00:00+00:00,10399,0,0,0,4014,29,0,3125,3230,1
2022-07-20 04:00:00+00:00,11867,0,0,0,4915,268,0,3197,3486,1
2022-07-19 04:00:00+00:00,12364,0,0,0,4189,1347,0,2973,3844,11
2022-07-18 04:00:00+00:00,11888,0,0,0,3171,1409,0,3032,4264,12
2022-07-17 04:00:00+00:00,1218,0,0,0,5,0,0,568,645,0
2022-07-16 04:00:00+00:00,2963,0,0,0,7,0,0,1165,1785,6
2022-07-15 04:00:00+00:00,10950,0,0,0,3595,1759,0,2414,2960,222
2022-07-14 04:00:00+00:00,11614,0,0,0,3561,1963,0,2505,3360,225
2022-07-13 04:00:00+00:00,11863,0,0,0,3359,1756,0,2796,3758,194
2022-07-12 04:00:00+00:00,11981,0,0,0,4139,2175,0,2678,2716,273
2022-07-11 04:00:00+00:00,9740,0,0,0,3836,2052,0,2375,1259,218
2022-07-10 04:00:00+00:00,1,0,0,0,1,0,0,0,0,0
2022-07-09 04:00:00+00:00,182,0,0,0,38,96,0,0,48,0
2022-07-08 04:00:00+00:00,7580,0,0,0,4162,2260,0,0,692,466
2022-07-07 04:00:00+00:00,7771,0,0,0,4186,2345,0,0,849,391
2022-07-06 04:00:00+00:00,7159,0,0,0,3775,2266,0,0,783,335
2022-07-05 04:00:00+00:00,7487,0,0,0,3712,2096,0,0,1306,373
2022-07-04 04:00:00+00:00,6988,0,0,0,3108,2153,0,0,1163,564
2022-07-03 04:00:00+00:00,108,0,0,0,0,0,0,0,108,0
2022-07-02 04:00:00+00:00,268,0,0,0,2,0,0,0,253,13
2022-07-01 04:00:00+00:00,7263,0,0,0,3734,1798,0,0,1219,512
2022-06-30 04:00:00+00:00,7204,0,0,0,3328,1944,0,0,1423,509
2022-06-29 04:00:00+00:00,6798,0,0,0,3559,1332,0,0,1353,554
2022-06-28 04:00:00+00:00,7002,0,0,0,3625,1576,0,0,963,838
2022-06-27 04:00:00+00:00,6949,0,0,0,3690,1590,0,0,1056,613
2022-06-26 04:00:00+00:00,148,0,0,0,0,1,0,0,147,0
2022-06-25 04:00:00+00:00,776,0,0,0,9,197,0,0,567,3
2022-06-24 04:00:00+00:00,7178,0,0,0,3499,2267,0,0,814,598
2022-06-23 04:00:00+00:00,8962,0,0,0,3986,2798,0,0,1249,929
2022-06-22 04:00:00+00:00,9358,0,0,0,4186,2855,0,0,1276,1041
2022-06-21 04:00:00+00:00,9356,0,0,0,4083,3097,0,0,1422,754
2022-06-20 04:00:00+00:00,9659,0,0,0,4663,3010,0,0,1106,880
2022-06-19 04:00:00+00:00,346,0,0,0,47,193,0,0,104,2
2022-06-18 04:00:00+00:00,2356,0,0,0,1011,631,0,0,497,217
2022-06-17 04:00:00+00:00,8899,0,0,0,3714,3157,0,0,1291,737
2022-06-16 04:00:00+00:00,11097,0,0,0,4752,3256,0,0,1753,1336
2022-06-15 04:00:00+00:00,10570,0,0,0,4812,2963,0,0,1760,1035
2022-06-14 04:00:00+00:00,9201,0,0,0,4067,2586,0,0,1369,1179
2022-06-13 04:00:00+00:00,8864,0,0,0,4045,2556,0,0,1435,828
2022-06-12 04:00:00+00:00,28,0,0,0,0,0,0,0,28,0
2022-06-11 04:00:00+00:00,247,0,0,0,0,0,0,0,236,11
2022-06-10 04:00:00+00:00,6786,0,0,0,3244,2065,0,0,906,571
2022-06-09 04:00:00+00:00,8389,0,0,0,3498,2733,0,0,1443,715
2022-06-08 04:00:00+00:00,9233,0,0,0,4000,3003,0,0,1125,1105
2022-06-07 04:00:00+00:00,8455,0,0,0,3377,2791,0,0,1399,888
2022-06-06 04:00:00+00:00,8336,0,0,0,3594,2703,0,0,1231,808
2022-06-05 04:00:00+00:00,46,0,0,0,0,46,0,0,0,0
2022-06-04 04:00:00+00:00,1065,0,0,0,28,855,0,0,46,136
2022-06-03 04:00:00+00:00,6943,0,0,0,3427,2109,0,0,503,904
2022-06-02 04:00:00+00:00,6988,0,0,0,3239,1877,0,0,997,875
2022-06-01 04:00:00+00:00,6685,0,0,0,2883,2225,0,0,943,634
2022-05-31 04:00:00+00:00,7574,0,0,0,3192,2509,0,0,1006,867
2022-05-30 04:00:00+00:00,1729,0,0,0,790,435,0,0,311,193
2022-05-29 04:00:00+00:00,1555,0,0,0,537,825,0,0,31,162
2022-05-28 04:00:00+00:00,6942,0,0,0,3566,1910,0,0,551,915
2022-05-27 04:00:00+00:00,6405,0,0,0,2000,2431,0,0,1111,863
2022-05-26 04:00:00+00:00,7892,0,0,0,3852,2037,0,0,1261,742
2022-05-25 04:00:00+00:00,7163,0,0,0,2940,2096,0,0,1366,761
2022-05-24 04:00:00+00:00,4055,0,0,0,1142,1482,0,0,949,482
